station;altitude;lat;lon;t_mean;t_max;t_min;relhumidity;p_mean;p_max24h;rainydays;sun_shine_hperyrs
Marseille;3;43.45;5.21;14.2;24.4;2.3;68;546;86;76;2764
Nice;5;43.66;7.20;14.8;23.7;7.1;72;862;147;86;2775
Cherbourg;8;49.65;-1.63;11.4;19.2;4.3;80;931;62;171;1608
Bastia (Korsika);10;42.55;9.48;14.9;25.0;7.5;70;735;201;91;2603
Nantes;26;47.16;-1.61;11.7;22.6;1.6;82;741;62;172;1952
Rennes;35;48.06;-1.71;11.3;22.1;0.6;82;669;45;168;1805
Belle-Ile/Talut;37;47.30;-3.21;12.3;19.9;4.5;89;637;81;147;2111
Perpignan;43;42.73;2.86;12.5;26.2;5.4;66;639;186;85;2644
Lille;44;50.73;3.10;9.7;21.3;-0.2;82;637;49;171;1574
Bordeaux;47;44.83;-0.70;12.3;24.9;0.6;81;900;54;162;2052
Paris (Le Bourget);52;48.96;2.45;10.9;23.2;2.1;77;585;56;164;1779
Monaco;55;43.71;7.41;16.4;22.2;10.4;73;796;111;58;2331
Dinard;63;48.60;-2.08;11.0;20.6;2.3;82;726;42;174;2007
Biarritz;69;43.46;-1.53;13.7;25.5;3.5;78;1,475;153;177;1952
Boulogne -sur-Mer;73;50.73;1.60;10.4;19.6;2.7;83;599;44;170;2228
Montélimar;73;44.58;4.73;12.9;25.0;2.1;70;998;181;108;2505
Reims;94;49.30;4.33;10.2;22.4;-1.6;79;598;47;164;1729
Sète;94;43.40;3.70;14.0;24.4;6.4;73;615;108;73;2805
Brest;98;48.45;-4.41;10.8;19.7;2.3;85;1,126;57;201;1729
Tours;98;47.41;0.76;11.4;23.2;0.8;79;689;74;157;1826
Straßburg;149;48.55;7.63;9.7;22.6;-1.4;78;607;54;158;1685
Toulouse;151;43.61;1.36;12.5;24.5;1.2;79;659;78;138;2080
Nevers;176;47.00;3.10;10.6;21.8;-1.8;78;772;117;166;2102
Lyon;200;45.71;4.95;11.4;23.7;0.3;76;813;89;145;2072
Gourdon;205;44.75;1.38;12.2;25.1;-0.1;77;801;92;157;1972
Auxerre;207;47.80;3.55;10.8;26.6;-0.8;78;643;46;159;1925
Nancy;212;48.70;6.23;9.7;21.2;-2.5;81;712;85;161;1648
Dijon;220;47.26;5.91;10.5;22.7;-0.1;76;739;110;147;2049
Grenoble;223;45.16;5.73;11.0;24.0;-0.5;77;985;135;144;2085
Limoges;282;45.81;1.28;10.6;23.5;-2.3;77;934;62;165;1885
Clermont-Ferrand;329;45.80;3.15;10.9;24.6;-2.3;72;563;55;132;1990
Millau;409;44.10;3.05;11.6;23.9;-0.1;71;730;137;144;2127
Belfort;422;47.63;6.86;9.5;22.1;-1.0;80;1,038;68;174;1845
Le Puy-en-Velay;714;45.05;3.90;9.3;22.4;-2.8;74;635;76;148;2061
Mont-Ventoux;1,212;44.16;5.28;3.6;12.8;-6.3;78;966;118;109;2286
Pic-du-Midi;2,860;42.93;0.15;-1.2;8.6;-11.8;73;1,013;73;175;2204
